id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1310985302312448000,2020-09-29 16:50:27,1,0,"@_LordedasTrevas Olá. Nossos processos seletivos estão temporariamente suspensos devido à pandemia. Assim que for possível, novos editais serão lançados na página do Cebraspe: https://t.co/NwI3ltsAKf"
1310981519175974912,2020-09-29 16:35:25,71,17,"Grupo da UnB e do IFB desenvolve aparato de ventilação para combater a covid-19 nos hospitais.

Equipamento faz filtragem do ar para diminuir a circulação de partículas do novo coronavírus e as chances de contágio. https://t.co/kSLwOOdvCQ

Foto: Tatiana Fortes https://t.co/wvUCqGHGIS"
1310981519175974912,2020-09-29 16:35:25,71,17,"Grupo da UnB e do IFB desenvolve aparato de ventilação para combater a covid-19 nos hospitais.

Equipamento faz filtragem do ar para diminuir a circulação de partículas do novo coronavírus e as chances de contágio. https://t.co/kSLwOOdvCQ

Foto: Tatiana Fortes https://t.co/wvUCqGHGIS"
1310655521855340548,2020-09-28 19:00:01,30,1,"UnB realiza inspeção em laboratórios que seguem em funcionamento durante a pandemia. 

Após as visitas, são elaborados relatórios técnicos. Ao todo já foram feitos 86, sendo 45 em laboratórios de pesquisa. https://t.co/JUwQr8Ubmp https://t.co/hnLtPZOga4"
1310552838456717314,2020-09-28 12:12:00,21,5,"Projeto leva informações a produtores do campo sobre manejo de animais durante a pandemia.

Professores e residentes do Hospital Veterinário da UnB ofereceram orientações por videoconferências. Cartilhas com temas discutidos também serão distribuídas. https://t.co/nwAyUp07eR https://t.co/1y6GdqTfTI"
1309628752100425729,2020-09-25 23:00:00,13,1,"[Artigo | UnB Notícias] 

A importância da Ciência transcende a obtenção de vacinas para a covid. https://t.co/djLULN73BW

* O conteúdo dos artigos é de responsabilidade do autor, expressa sua opinião sobre assuntos atuais e não representa a visão da UnB."
1309266363525988352,2020-09-24 23:00:00,10,2,"[Artigo | UnB Notícias] 

O estresse tóxico reforça a pandemia. https://t.co/o65HrUGn75

* O conteúdo dos artigos é de responsabilidade do autor, expressa sua opinião sobre assuntos atuais e não representa a visão da UnB."
1309249290842378240,2020-09-24 21:52:10,96,17,"Castanha-de-caju pode ser fonte para terapia de baixo custo contra covid-19

Projeto tem como base substâncias extraídas da casca do fruto para tratamento profilático e terapêutico: https://t.co/mxPW7rjF1c https://t.co/kDEXTxRdNM"
1309221064782667777,2020-09-24 20:00:00,4,0,"19ª edição do Boletim Coes apresenta novos dados sobre a pandemia e impacto na comunidade internacional.

Brasil atinge a marca de 4,5 milhões de pessoas infectadas pelo novo coronavírus. https://t.co/85kjP10QYq https://t.co/0Lpl40TW8o"
1309221064782667777,2020-09-24 20:00:00,4,0,"19ª edição do Boletim Coes apresenta novos dados sobre a pandemia e impacto na comunidade internacional.

Brasil atinge a marca de 4,5 milhões de pessoas infectadas pelo novo coronavírus. https://t.co/85kjP10QYq https://t.co/0Lpl40TW8o"
1309198415901978624,2020-09-24 18:30:00,4,2,"Participe de pesquisa do Programa de Pós-Graduação em Transportes sobre o impacto da pandemia na mobilidade de Brasília. 

Como o tempo que você economizou com deslocamentos impactou a sua vida como estudante ou trabalhador(a)?

Acesse: https://t.co/ugrOQyye5a https://t.co/HKvjvDdgvR"
1308046071025680391,2020-09-21 14:11:00,12,2,"Confira a Mostra de Cursos do Decanato de Ensino de Graduação na Semana Universitária! Neste ano, em função da pandemia, o evento acontecerá de modo remoto. Acesse o site https://t.co/Q2MmWuiTye e participe das atividades."
1306714550557966339,2020-09-17 22:00:01,8,1,"18ª edição do Boletim Coes traz novos dados sobre a pandemia de covid-19.

Perto de alcançar a marca de vinte edições, informativo convida comunidade a responder pesquisa de satisfação sobre o conteúdo produzido. https://t.co/909MMKAekj https://t.co/3npMoue5G5"
